Symbol,logFC,p_value
AC105935.1,15.86283544,0.999988109
MON1A,-0.198540459,0.999988109
RBM6,-0.160786418,0.683875945
RBM5,-0.306805014,0.394906695
SEMA3F-AS1,-0.551486479,0.999988109
SEMA3F,-2.84E-12,0.999988109
GNAT1,-2.84E-12,0.999988109
SLC38A3,-2.84E-12,0.999988109
GNAI2,0.113715567,0.999988109
U73166.1,16.58259529,0.999988109
SEMA3B-AS1,15.86283397,0.999988109
SEMA3B,-2.84E-12,0.999988109
LSMEM2,16.58259669,0.999988109
IFRD2,-0.006862057,0.999988109
HYAL3,0.403675454,0.999988109
NAA80,-0.312612544,0.999988109
HYAL1,16.58262708,0.999988109
HYAL2,-0.470853073,0.470826737
TUSC2,0.100170564,0.748315377
RASSF1,-0.021962945,0.999988109
RASSF1-AS1,-1.339575665,0.999988109
ZMYND10-AS1,-2.84E-12,0.999988109
NPRL2,0.273006073,0.999988109
CYB561D2,0.210888978,0.995225577
Z84492.1,-2.84E-12,0.999988109
TMEM115,0.149250218,0.999988109
CACNA2D2,-2.506828519,0.66072926
C3orf18,-2.84E-12,0.999988109
HEMK1,-1.195228879,0.055376021
AC096920.1,-2.84E-12,0.999988109
CISH,-0.252959432,0.999988109
MAPKAPK3,-0.223476344,0.477591176
LINC02019,-0.541621067,0.999988109
DOCK3,-0.536395455,0.999988109
MANF,-0.138874302,0.152529892
RBM15B,-0.113784735,0.999988109
DCAF1,-0.230333851,0.345135862
RAD54L2,-0.231242994,0.999988109
TEX264,0.223167336,0.999988109
GRM2,-3.760350852,0.705679354
IQCF6,-2.84E-12,0.999988109
IQCF3,-2.84E-12,0.999988109
IQCF2,-2.84E-12,0.999988109
IQCF5-AS1,-2.84E-12,0.999988109
IQCF5,-2.84E-12,0.999988109
IQCF1,-2.84E-12,0.999988109
RRP9,0.075169965,0.751518524
PCBP4,-0.116260437,0.999988109
ABHD14B,-0.009326767,0.999988109
ABHD14A,-0.008112046,0.999988109
ACY1,0.095851667,0.999988109
RPL29,0.025887055,0.477591176
DUSP7,-0.14706082,0.999988109
POC1A,-0.319697754,0.999988109
ALAS1,0.361274243,0.176577665
TLR9,-2.84E-12,0.999988109
AC097637.1,-2.84E-12,0.999988109
TWF2,0.32903117,0.200752215
AC006252.1,-1.486414722,0.999988109
PPM1M,-0.142003306,0.999988109
WDR82,-0.276116479,0.108057273
GLYCTK,-0.231425393,0.999988109
DNAH1,-0.433414374,0.999988109
BAP1,0.303137615,0.570544779
PHF7,1.710163613,0.827564775
SEMA3G,-2.84E-12,0.999988109
NISCH,-0.110503662,0.999988109
STAB1,-2.84E-12,0.999988109
NT5DC2,0.745645818,0.660912744
SMIM4,0.009343331,0.999988109
PBRM1,-0.255032754,0.171165341
GNL3,-0.155016702,0.071573779
GLT8D1,0.144726036,0.999988109
SPCS1,-0.135642902,0.092150499
NEK4,-0.68081519,0.729725719
ITIH1,-2.84E-12,0.999988109
ITIH3,-2.84E-12,0.999988109
AC006254.1,-0.014023006,0.999988109
ITIH4-AS1,-2.84E-12,0.999988109
MUSTN1,-2.84E-12,0.999988109
STIMATE,1.062420918,0.185003849
SFMBT1,-0.304414068,0.568838082
AC096887.1,-1.413681263,0.246840252
RFT1,0.041016592,0.999988109
PRKCD,0.127102315,0.999988109
TKT,0.531935932,2.79E-23
DCP1A,-0.235417381,0.155333459
AC012467.1,-2.84E-12,0.999988109
IL17RB,#NAME?,0.032163837
AC012467.2,1.513363247,0.999988109
ACTR8,0.795816803,0.053599356
SELENOK,-0.022636891,0.999988109
CACNA2D3,-2.84E-12,0.999988109
CACNA2D3-AS1,-2.84E-12,0.999988109
LRTM1,-2.84E-12,0.999988109
AC092059.1,-2.84E-12,0.999988109
LINC02017,-2.84E-12,0.999988109
LINC02030,-2.84E-12,0.999988109
AC121764.2,-2.84E-12,0.999988109
AC121764.3,-2.84E-12,0.999988109
WNT5A,-2.84E-12,0.999988109
WNT5A-AS1,-2.84E-12,0.999988109
AC121764.1,-2.84E-12,0.999988109
ERC2,-2.84E-12,0.999988109
AC025572.1,-2.84E-12,0.999988109
CCDC66,-0.123852944,0.999988109
FAM208A,0.006029759,0.999988109
ARHGEF3,-0.21305927,0.033338846
ARHGEF3-AS1,-2.84E-12,0.999988109
SPATA12,-2.84E-12,0.999988109
AC097358.2,-2.84E-12,0.999988109
IL17RD,#NAME?,0.208372552
HESX1,-2.84E-12,0.999988109
APPL1,-0.156096652,0.999988109
ASB14,-2.84E-12,0.999988109
DNAH12,-2.84E-12,0.999988109
PDE12,-0.120902488,0.999988109
ARF4,0.061149323,0.929399261
ARF4-AS1,-0.226901483,0.999988109
DENND6A,-0.716794656,0.598603893
DENND6A-AS1,-2.84E-12,0.999988109
DENND6A-DT,16.58259633,0.999988109
SLMAP,0.007451956,0.999988109
FLNB,0.164990144,0.999988109
FLNB-AS1,-2.84E-12,0.999988109
AC137936.1,-2.84E-12,0.999988109
DNASE1L3,-2.84E-12,0.999988109
ABHD6,-0.028738449,0.999988109
RPP14,0.232089147,0.999988109
HTD2,-0.512116992,0.35503375
PXK,0.346083201,0.030494008
PDHB,0.302300592,0.201785062
AC135507.1,-0.702686157,0.999988109
AC116036.2,-2.84E-12,0.999988109
KCTD6,-0.084734989,0.999988109
ACOX2,-2.84E-12,0.999988109
FAM107A,-2.84E-12,0.999988109
AC119424.1,-2.84E-12,0.999988109
FAM3D-AS1,-2.84E-12,0.999988109
FAM3D,-2.84E-12,0.999988109
C3orf67,-2.84E-12,0.999988109
C3orf67-AS1,-2.84E-12,0.999988109
AC114400.1,-2.84E-12,0.999988109
AC138057.1,-2.84E-12,0.999988109
AC126121.2,-2.84E-12,0.999988109
FHIT,-0.8921373,0.061874509
PTPRG,-2.84E-12,0.999988109
C3orf14,1.212176714,6.09E-05
FEZF2,-2.84E-12,0.999988109
CADPS,-2.84E-12,0.999988109
LINC00698,-2.84E-12,0.999988109
SYNPR,-2.84E-12,0.999988109
SYNPR-AS1,-2.84E-12,0.999988109
SNTN,-2.84E-12,0.999988109
C3orf49,-2.84E-12,0.999988109
THOC7,-0.24126502,0.025881488
THOC7-AS1,-2.84E-12,0.999988109
ATXN7,-1.145114511,0.78215112
ATXN7.1,-0.291066746,0.999988109
SCAANT1,-0.958285444,0.999988109
PSMD6-AS2,-1.241303271,0.695135891
AC012557.1,-0.652748875,0.999988109
PSMD6,0.023574604,0.999988109
PSMD6-AS1,-2.725287248,0.970361535
AC012557.2,-1.549840439,0.999988109
AC092040.1,-2.84E-12,0.999988109
LINC00994,-2.84E-12,0.999988109
PRICKLE2,-2.84E-12,0.999988109
PRICKLE2-AS1,-2.84E-12,0.999988109
PRICKLE2-AS2,-2.84E-12,0.999988109
PRICKLE2-AS3,-2.84E-12,0.999988109
AC096888.1,-2.84E-12,0.999988109
ADAMTS9,-2.84E-12,0.999988109
ADAMTS9-AS1,-2.84E-12,0.999988109
ADAMTS9-AS2,-2.84E-12,0.999988109
LINC02040,-2.84E-12,0.999988109
MAGI1-AS1,-2.84E-12,0.999988109
SLC25A26,-0.036661449,0.999988109
LRIG1,-0.451423609,0.000682148
KBTBD8,-0.065337696,0.999988109
AC114401.1,-2.84E-12,0.999988109
SUCLG2,-0.013264301,0.999988109
SUCLG2-AS1,-0.306819897,0.999988109
FAM19A1,-2.84E-12,0.999988109
FAM19A4,-2.84E-12,0.999988109
EOGT,-0.450874361,0.999988109
AC109587.1,-0.42609885,0.999988109
TMF1,-0.20933232,0.450849893
UBA3,0.053788578,0.999988109
ARL6IP5,0.142251403,0.999988109
LMOD3,-2.120469442,0.999988109
FRMD4B,1.935099384,2.38E-21
AC099328.2,-2.84E-12,0.999988109
AC104445.1,-2.84E-12,0.999988109
MITF,-2.84E-12,0.999988109
SAMMSON,15.86278978,0.999988109
MDFIC2,-2.84E-12,0.999988109
FOXP1,-1.14277704,1.22E-105
FOXP1-AS1,-2.84E-12,0.999988109
AC097634.2,-2.84E-12,0.999988109
AC097634.3,-2.84E-12,0.999988109
AC097634.1,-1.281179454,0.999988109
EIF4E3,0.62722457,0.844423331
GPR27,-4.377691358,0.71947575
PROK2,-2.043266711,0.013662116
LINC00877,#NAME?,0.208372552
AC105265.3,-2.84E-12,0.999988109
AC105265.4,15.86281527,0.999988109
LINC00870,-2.84E-12,0.999988109
AC112219.2,-2.84E-12,0.999988109
AC112219.1,-2.84E-12,0.999988109
AC134508.1,15.86284233,0.999988109
RYBP,-0.33761817,0.062560062
AC104435.2,-2.84E-12,0.999988109
SHQ1,-0.110182992,0.999988109
GXYLT2,-2.84E-12,0.999988109
PPP4R2,0.253188507,0.005726209
EBLN2,-0.63276679,0.999988109
PDZRN3,-2.84E-12,0.999988109
PDZRN3-AS1,-2.84E-12,0.999988109
LINC02005,-2.84E-12,0.999988109
LINC02047,-2.84E-12,0.999988109
CNTN3,-2.84E-12,0.999988109
LINC02018,-0.924572797,0.999988109
FRG2C,-2.84E-12,0.999988109
LINC00960,-2.84E-12,0.999988109
ZNF717,-0.414049361,0.999988109
ROBO2,-2.84E-12,0.999988109
LINC02077,-2.84E-12,0.999988109
AC117462.1,-2.84E-12,0.999988109
AC108752.1,-2.84E-12,0.999988109
ROBO1,-2.84E-12,0.999988109
AC068756.1,-2.84E-12,0.999988109
LINC02050,15.86281223,0.999988109
LINC02027,-2.84E-12,0.999988109
AC099542.2,-2.84E-12,0.999988109
AC099542.1,-2.84E-12,0.999988109
GBE1,-0.510670812,0.175323301
AC017015.2,-2.84E-12,0.999988109
AC129807.1,-2.84E-12,0.999988109
LINC02008,-2.84E-12,0.999988109
LINC02025,-2.84E-12,0.999988109
CADM2,-2.84E-12,0.999988109
CADM2-AS2,-2.84E-12,0.999988109
CADM2-AS1,-2.84E-12,0.999988109
AC108733.1,-2.84E-12,0.999988109
LINC02070,-2.84E-12,0.999988109
VGLL3,-2.84E-12,0.999988109
AC107204.1,-2.84E-12,0.999988109
CHMP2B,0.006178258,0.999988109
POU1F1,-2.84E-12,0.999988109
AC117513.1,-2.84E-12,0.999988109
HTR1F,-2.84E-12,0.999988109
CGGBP1,0.161565173,0.955685667
ZNF654,0.227301281,0.999988109
C3orf38,-0.137873045,0.999988109
CSNKA2IP,-2.84E-12,0.999988109
EPHA3,-2.84E-12,0.999988109
ARL13B,-0.069257027,0.999988109
STX19,-2.84E-12,0.999988109
DHFR2,-0.763852268,0.945974604
NSUN3,-0.026314299,0.999988109
LINC00879,-2.84E-12,0.999988109
MTRNR2L12,0.218089347,0.000221597
EPHA6,-2.84E-12,0.999988109
AC110491.1,-2.84E-12,0.999988109
ARL6,-0.472129106,0.999988109
AC110491.3,-2.84E-12,0.999988109
CRYBG3,-1.619647388,7.84E-05
AC110491.2,-2.84E-12,0.999988109
RIOX2,0.120928485,0.999988109
GABRR3,-2.84E-12,0.999988109
OR5AC2,-2.84E-12,0.999988109
AC117460.1,-2.84E-12,0.999988109
OR5H1,-2.84E-12,0.999988109
OR5H15,-2.84E-12,0.999988109
AC117473.1,-2.84E-12,0.999988109
OR5H6,-2.84E-12,0.999988109
OR5H2,-2.84E-12,0.999988109
OR5K4,-2.84E-12,0.999988109
OR5K3,-2.84E-12,0.999988109
OR5K1,-2.84E-12,0.999988109
OR5K2,-2.84E-12,0.999988109
CLDND1,0.037146672,0.999988109
CPOX,-0.716159342,0.498305253
AC021660.2,-3.543288283,0.743102973
GPR15,4.207299055,0.999988109
ST3GAL6-AS1,-2.84E-12,0.999988109
ST3GAL6,-2.84E-12,0.999988109
DCBLD2,-1.127400027,0.999988109
AC091212.1,-2.84E-12,0.999988109
LINC00973,-2.84E-12,0.999988109
AC078828.1,-2.84E-12,0.999988109
AC107029.1,-2.84E-12,0.999988109
AC107029.2,-2.84E-12,0.999988109
AC069222.1,-2.84E-12,0.999988109
CMSS1,-0.315322349,0.004446015
FILIP1L,-0.812739481,0.999988109
TBC1D23,-0.012428365,0.999988109
NIT2,0.160723805,0.999988109
TOMM70,0.141521837,0.696488935
LNP1,0.471989158,0.999988109
TMEM45A,4.207332803,0.999988109
ADGRG7,-2.84E-12,0.999988109
TFG,0.040899067,0.999988109
ABI3BP,-2.286530392,0.999988109
IMPG2,-2.84E-12,0.999988109
TRMT10C,-0.360682972,1.81E-11
PCNP,0.058660256,0.999988109
ZBTB11,0.007543849,0.999988109
ZBTB11-AS1,-0.427286476,0.99591401
RPL24,-0.078833235,5.30E-05
CEP97,0.001971517,0.999988109
NXPE3,-0.199787725,0.999988109
AC020651.1,-2.84E-12,0.999988109
NFKBIZ,-0.076951918,0.999988109
LINC02085,-2.84E-12,0.999988109
AC106712.1,-2.84E-12,0.999988109
ZPLD1,-2.84E-12,0.999988109
AC108748.1,-2.84E-12,0.999988109
ALCAM,-0.995478496,2.66E-05
CBLB,0.332054253,0.000268215
LINC00882,-2.84E-12,0.999988109
DUBR,-2.84E-12,0.999988109
AC063944.1,-2.84E-12,0.999988109
AC063944.3,-2.84E-12,0.999988109
CCDC54,-2.84E-12,0.999988109
LINC01990,-2.84E-12,0.999988109
BBX,-0.250682521,0.62587417
LINC00635,-2.84E-12,0.999988109
LINC00636,-2.84E-12,0.999988109
CD47,-0.243466077,0.288203558
LINC01215,-0.402390812,0.008582139
IFT57,-0.00674145,0.999988109
HHLA2,-2.84E-12,0.999988109
MYH15,-2.84E-12,0.999988109
CIP2A,-1.422013715,0.242172249
DZIP3,1.102568423,0.999988109
RETNLB,-2.84E-12,0.999988109
TRAT1,-0.34149463,0.84648395
GUCA1C,-2.84E-12,0.999988109
MORC1,-2.84E-12,0.999988109
MORC1-AS1,-2.84E-12,0.999988109
C3orf85,-2.84E-12,0.999988109
AC063923.2,-2.84E-12,0.999988109
LINC00488,-2.84E-12,0.999988109
DPPA2,-2.84E-12,0.999988109
DPPA4,#NAME?,0.020625072
LINC01205,-2.84E-12,0.999988109
AC078980.1,-2.84E-12,0.999988109
AC117430.1,-2.84E-12,0.999988109
AC117402.1,-2.84E-12,0.999988109
NECTIN3-AS1,-3.117662004,0.820955973
NECTIN3,-1.637968693,0.201785062
CD96,-0.254006081,0.083832941
AC092916.1,-2.84E-12,0.999988109
ZBED2,0.696334554,0.003467809
PLCXD2,-0.57336141,0.999988109
PLCXD2-AS1,-2.84E-12,0.999988109
PHLDB2,-1.149528802,0.993465885
ABHD10,-0.170595839,0.999988109
TAGLN3,-0.589823632,0.480977865
TMPRSS7,-2.84E-12,0.999988109
C3orf52,0.7321018,0.542592888
GCSAM,-2.968065223,0.198837834
SLC9C1,4.257359081,0.999988109
AC112487.1,16.58262771,0.999988109
CD200,0.787348906,3.35E-167
BTLA,0.773614196,1.60E-36
ATG3,0.203691651,0.151847561
SLC35A5,0.890587489,0.402668877
LINC02042,-2.84E-12,0.999988109
CD200R1L,-2.84E-12,0.999988109
CD200R1,-4.564396187,0.002529567
AC074044.1,-0.817918134,0.999988109
GTPBP8,-0.699561126,0.000938247
NEPRO,-0.379625558,0.08728298
AC078785.1,-0.186854288,0.999988109
AC078785.2,-2.84E-12,0.999988109
LINC02044,-2.84E-12,0.999988109
BOC,-2.84E-12,0.999988109
CFAP44,-1.708125142,0.678549966
CFAP44-AS1,-2.84E-12,0.999988109
SPICE1,0.202324032,0.999988109
SIDT1,-1.441104652,0.051855196
SIDT1-AS1,-2.84E-12,0.999988109
USF3,0.275335949,0.999988109
NAA50,-0.029157737,0.999988109
AC108693.2,#NAME?,0.208372552
ATP6V1A,-0.427930712,0.999988109
AC128687.2,-4.592485324,0.598904585
ZDHHC23,-2.234119493,0.692861873
CCDC191,-4.888609173,0.201785062
QTRT2,0.025590316,0.999988109
AC093010.2,-0.023184214,0.999988109
TIGIT,-0.179911736,0.78446886
ZBTB20,-0.782352701,9.85E-05
ZBTB20-AS1,-2.84E-12,0.999988109
ZBTB20-AS5,-2.84E-12,0.999988109
ZBTB20-AS2,-2.84E-12,0.999988109
ZBTB20-AS3,-2.84E-12,0.999988109
ZBTB20-AS4,-2.84E-12,0.999988109
AC046136.1,-2.84E-12,0.999988109
GAP43,-2.84E-12,0.999988109
LSAMP,-2.84E-12,0.999988109
LSAMP-AS1,-2.84E-12,0.999988109
LINC00903,-2.84E-12,0.999988109
TUSC7,-2.84E-12,0.999988109
LINC00901,-2.84E-12,0.999988109
AC092691.1,-2.84E-12,0.999988109
LINC02024,-2.84E-12,0.999988109
AC092691.3,-2.84E-12,0.999988109
AC068633.1,-2.84E-12,0.999988109
IGSF11,16.58263321,0.999988109
IGSF11-AS1,-2.84E-12,0.999988109
C3orf30,-2.84E-12,0.999988109
AC083800.1,-2.84E-12,0.999988109
UPK1B,-2.84E-12,0.999988109
B4GALT4,-0.333306105,0.33942736
B4GALT4-AS1,-2.84E-12,0.999988109
ARHGAP31,-0.605974713,0.002339837
ARHGAP31-AS1,-1.240863823,0.464007856
TMEM39A,0.164485591,0.820435209
POGLUT1,0.455202351,0.209213086
AC073352.1,-1.019437868,0.999988109
TIMMDC1,0.691657265,2.39E-05
CD80,-0.422027142,0.999988109
ADPRH,-0.377023037,0.999988109
PLA1A,-2.84E-12,0.999988109
POPDC2,-1.884021402,0.839822874
COX17,0.155152301,0.045831852
MAATS1,-2.84E-12,0.999988109
AC069444.1,-2.84E-12,0.999988109
NR1I2,-2.84E-12,0.999988109
GSK3B,0.402020349,0.446522644
AC092910.3,0.919972717,0.999988109
GPR156,-2.84E-12,0.999988109
LRRC58,-0.408517659,0.004627623
AC063952.4,-2.84E-12,0.999988109
FSTL1,-2.84E-12,0.999988109
NDUFB4,-0.031906238,0.999988109
RABL3,0.021625914,0.999988109
GTF2E1,0.38980733,0.999988109
LINC02049,-2.84E-12,0.999988109
STXBP5L,-2.84E-12,0.999988109
POLQ,-2.84E-12,0.999988109
ARGFX,-2.84E-12,0.999988109
FBXO40,-2.84E-12,0.999988109
HCLS1,0.062888617,0.999988109
GOLGB1,0.567836904,0.004954664
IQCB1,0.310859854,0.221625157
EAF2,0.829216658,0.245549394
SLC15A2,16.58257246,0.999988109
CSTA,-2.84E-12,0.999988109
CCDC58,0.138595742,0.671877318
FAM162A,-0.230505746,0.018473998
WDR5B,0.136081782,0.999988109
AC083798.2,0.163575527,0.999988109
KPNA1,0.038147594,0.999988109
PARP9,0.229946504,0.999988109
DTX3L,-0.498115245,0.1022151
PARP15,1.20878513,0.999988109
PARP14,0.454234049,0.058020703
HSPBAP1,0.386159059,0.999988109
DIRC2,-0.537556592,0.999988109
SEMA5B,-2.84E-12,0.999988109
PDIA5,-0.072903504,0.999988109
SEC22A,-1.271760126,0.002803034
AC112503.2,-2.84E-12,0.999988109
ADCY5,#NAME?,0.04918704
AC112503.1,-2.84E-12,0.999988109
HACD2,0.237517493,0.953634941
MYLK-AS1,-0.182679971,0.999988109
MYLK,#NAME?,0.025252142
MYLK-AS2,-2.84E-12,0.999988109
AC020634.1,-2.84E-12,0.999988109
CCDC14,0.351840378,0.999988109
ROPN1,-2.84E-12,0.999988109
UMPS,-0.205457182,0.365265213
ITGB5,-2.84E-12,0.999988109
ITGB5-AS1,-2.84E-12,0.999988109
MUC13,-2.84E-12,0.999988109
HEG1,-1.003642621,0.000106802
SLC12A8,-0.258456883,0.999988109
ZNF148,-0.203335678,0.899575304
SNX4,0.099103963,0.999988109
OSBPL11,-0.471907999,0.752724617
AC092902.3,16.90231095,0.999988109
AC092903.2,-2.84E-12,0.999988109
ALG1L,#NAME?,0.074549123
ROPN1B,-2.84E-12,0.999988109
SLC41A3,0.120073862,0.999988109
AC117422.1,-2.84E-12,0.999988109
AC079848.1,-1.605645815,0.999988109
ALDH1L1,-2.84E-12,0.999988109
ALDH1L1-AS1,-2.84E-12,0.999988109
ALDH1L1-AS2,-2.84E-12,0.999988109
AC016924.1,-2.84E-12,0.999988109
AC063919.1,-2.84E-12,0.999988109
KLF15,-2.84E-12,0.999988109
CCDC37-DT,-2.84E-12,0.999988109
CFAP100,-2.84E-12,0.999988109
ZXDC,0.247880858,0.999988109
UROC1,-2.84E-12,0.999988109
CHST13,-2.84E-12,0.999988109
C3orf22,-2.84E-12,0.999988109
TXNRD3NB,-2.84E-12,0.999988109
TXNRD3NB.1,-2.84E-12,0.999988109
TXNRD3,-2.415265939,0.329889903
CHCHD6,-0.058320876,0.999988109
PLXNA1,-0.03552505,0.999988109
C3orf56,-2.84E-12,0.999988109
LINC02016,-2.84E-12,0.999988109
LINC01471,-2.84E-12,0.999988109
AC016968.1,-2.84E-12,0.999988109
LINC02034,-2.84E-12,0.999988109
TPRA1,0.233629205,0.78712441
MCM2,0.525028968,0.938142059
PODXL2,-1.111446531,0.051679687
ABTB1,0.422280476,0.999988109
KBTBD12,-2.84E-12,0.999988109
SEC61A1,0.069519818,0.999988109
RUVBL1,0.263230942,0.149015681
RUVBL1-AS1,-2.84E-12,0.999988109
EEFSEC,-0.235150889,0.999988109
DNAJB8,-2.84E-12,0.999988109
DNAJB8-AS1,-2.84E-12,0.999988109
GATA2,15.86283546,0.999988109
GATA2-AS1,-2.84E-12,0.999988109
LINC01565,-2.84E-12,0.999988109
RPN1,0.046228644,0.999988109
RAB7A,0.109571338,0.473820775
AC112484.3,-2.84E-12,0.999988109
ACAD9,0.084332074,0.999988109
KIAA1257,-3.76046228,0.705679354
EFCC1,-2.84E-12,0.999988109
GP9,-2.84E-12,0.999988109
RAB43,-0.000390352,0.999988109
ISY1-RAB43,-2.84E-12,0.999988109
ISY1,0.125304522,0.999988109
AC108673.3,-0.523193261,0.999988109
CNBP,0.112967711,0.018470734
COPG1,-0.012380605,0.999988109
HMCES,-0.647101939,0.001356359
H1FX,0.781021159,0.212860336
H1FX-AS1,-2.113370043,0.999988109
EFCAB12,-2.84E-12,0.999988109
MBD4,-0.361807388,0.02556989
IFT122,-1.373140857,0.727619951
RHO,-2.84E-12,0.999988109
H1FOO,-2.84E-12,0.999988109
PLXND1,-0.77548552,0.999988109
TMCC1,-0.913250816,0.023564307
TMCC1-AS1,-2.84E-12,0.999988109
AC083906.3,-2.84E-12,0.999988109
TRH,-2.84E-12,0.999988109
ALG1L2,-3.121369526,0.363006329
LINC02014,-2.84E-12,0.999988109
COL6A5,-2.84E-12,0.999988109
COL6A6,-2.84E-12,0.999988109
PIK3R4,-0.437931732,0.445136244
ATP2C1,0.099666109,0.999988109
AC055733.2,-2.84E-12,0.999988109
ASTE1,-0.329725321,0.999988109
NEK11,-1.801415742,0.925114319
AC116424.1,-2.84E-12,0.999988109
NUDT16,0.021262127,0.999988109
MRPL3,-0.083324766,0.660693312
AC107027.1,-1.036418918,0.999988109
CPNE4,-2.84E-12,0.999988109
ACPP,-2.84E-12,0.999988109
DNAJC13,-1.000083628,0.033795832
ACAD11,-0.408408328,0.999988109
NPHP3-ACAD11,15.86281419,0.999988109
ACKR4,-4.592419261,0.598904585
UBA5,-0.175238339,0.742355937
NPHP3,-0.727918609,0.793757709
NPHP3-AS1,-1.818437103,0.999988109
AC079942.1,-2.84E-12,0.999988109
TMEM108,-2.84E-12,0.999988109
TMEM108-AS1,-2.84E-12,0.999988109
BFSP2-AS1,-2.84E-12,0.999988109
AC022296.3,-2.84E-12,0.999988109
CDV3,-0.085180286,0.633222725
TOPBP1,-0.121016132,0.999988109
TF,-1.544175233,0.999988109
SRPRB,-0.090823726,0.565939725
RAB6B,-2.725287227,0.970361535
C3orf36,-2.84E-12,0.999988109
SLCO2A1,-2.84E-12,0.999988109
LINC02000,-2.84E-12,0.999988109
RYK,-0.165034589,0.999988109
LINC02004,-2.84E-12,0.999988109
AC010207.1,-2.84E-12,0.999988109
AMOTL2,#NAME?,0.156658765
ANAPC13,-0.323922081,0.237124154
CEP63,-0.110836701,0.999988109
KY,-2.84E-12,0.999988109
AC072039.2,-2.84E-12,0.999988109
MSL2,-0.377372386,0.403528369
PCCB,0.556421035,0.168841061
STAG1,-0.10359355,0.999988109
AC117382.2,-0.206298882,0.999988109
SLC35G2,0.863311426,0.086650864
AC096992.2,16.58264386,0.999988109
NCK1,0.04417185,0.999988109
IL20RB,-1.19622359,0.877580458
IL20RB-AS1,-2.84E-12,0.999988109
SOX14,-2.84E-12,0.999988109
LINC01210,-2.84E-12,0.999988109
AC007159.1,-2.84E-12,0.999988109
CLDN18,-2.84E-12,0.999988109
AC016252.1,-2.84E-12,0.999988109
DZIP1L,-2.84E-12,0.999988109
A4GNT,-2.84E-12,0.999988109
DBR1,-0.165240863,0.999988109
ARMC8,-0.081523058,0.999988109
NME9,15.86279527,0.999988109
MRAS,#NAME?,0.201785062
ESYT3,-2.84E-12,0.999988109
CEP70,-1.700957297,0.165786934
FAIM,-0.566040222,0.999988109
PIK3CB,0.086981354,0.999988109
LINC01391,-2.84E-12,0.999988109
FOXL2,-2.84E-12,0.999988109
FOXL2NB,-2.84E-12,0.999988109
PRR23A,-2.84E-12,0.999988109
MRPS22,0.062615797,0.999988109
PRR23B,-2.84E-12,0.999988109
PRR23C,-2.84E-12,0.999988109
BPESC1,-2.84E-12,0.999988109
PISRT1,-2.84E-12,0.999988109
AC024933.1,15.96500199,0.999988109
COPB2,-0.032074323,0.999988109
RBP2,-2.84E-12,0.999988109
AC097103.1,-2.84E-12,0.999988109
RBP1,-2.84E-12,0.999988109
NMNAT3,-1.545886634,0.364195908
AC110716.2,15.86281788,0.999988109
AC110716.1,-2.84E-12,0.999988109
AC016933.1,-2.84E-12,0.999988109
CLSTN2,-2.84E-12,0.999988109
AC010181.1,-2.84E-12,0.999988109
AC010181.2,-2.84E-12,0.999988109
CLSTN2-AS1,-2.84E-12,0.999988109
TRIM42,-2.84E-12,0.999988109
AC121333.1,-2.84E-12,0.999988109
SLC25A36,-0.350197613,0.236613085
SPSB4,-2.84E-12,0.999988109
AC108727.2,-2.84E-12,0.999988109
PXYLP1,-0.004299939,0.999988109
AC117383.1,-2.84E-12,0.999988109
ZBTB38,-0.649921635,0.645821418
RASA2,-0.368637203,0.651241603
RNF7,0.100940349,0.812927891
ATP1B3,-0.226212323,8.85E-06
ATP1B3-AS1,-2.134966444,0.999988109
TFDP2,0.566275549,0.999988109
GK5,0.519822592,0.999988109
XRN1,0.238820998,0.746340242
ATR,0.424148003,0.297192546
PLS1,0.433457117,0.999988109
PLS1-AS1,-2.84E-12,0.999988109
TRPC1,#NAME?,0.04918704
PCOLCE2,-2.84E-12,0.999988109
AC021074.3,-2.84E-12,0.999988109
PAQR9,-2.84E-12,0.999988109
PAQR9-AS1,-2.84E-12,0.999988109
U2SURP,0.130460558,0.103237984
AC026304.1,-1.667099893,0.366873611
AC018450.2,-2.84E-12,0.999988109
CHST2,2.637787351,0.151452645
SLC9A9,0.67240601,0.999988109
SLC9A9-AS1,-2.84E-12,0.999988109
SLC9A9-AS2,-2.84E-12,0.999988109
C3orf58,-0.249614195,0.999988109
AC055758.2,-2.84E-12,0.999988109
AC055758.1,-2.84E-12,0.999988109
AC107021.1,-2.84E-12,0.999988109
LNCSRLR,-2.84E-12,0.999988109
PLOD2,-2.84E-12,0.999988109
PLSCR4,-2.84E-12,0.999988109
PLSCR2,-2.84E-12,0.999988109
PLSCR1,1.0402287,0.000175304
PLSCR5,-2.84E-12,0.999988109
PLSCR5-AS1,-2.84E-12,0.999988109
AC092957.1,-2.84E-12,0.999988109
LINC02010,-2.84E-12,0.999988109
ZIC4,-2.84E-12,0.999988109
ZIC4-AS1,-2.84E-12,0.999988109
ZIC1,-2.84E-12,0.999988109
AC092925.1,-2.84E-12,0.999988109
AC092958.1,-2.84E-12,0.999988109
LINC02032,-2.84E-12,0.999988109
AC092958.2,-2.84E-12,0.999988109
AC025566.1,-2.84E-12,0.999988109
LINC02045,-2.84E-12,0.999988109
LINC02046,-2.84E-12,0.999988109
AGTR1,-2.84E-12,0.999988109
CPB1,-2.84E-12,0.999988109
AC092979.1,-2.84E-12,0.999988109
